,YYYYMMDD,Kp[8],,,,,,,,Sum,Ap[8],,,,,,,,Ap
0,20140101,1-,1+,2,2,4-,3,3,3,19-,3,5,7,7,22.0,15.0,15.0,15.0,11.0
1,20140102,3+,4+,3+,2+,3-,3+,4+,2+,26,18,32,18,9,12.0,18.0,32.0,9.0,18.0
2,20140103,2,2-,2,2,3,3-,3-,1,17,7,6,7,7,15.0,12.0,12.0,4.0,9.0
3,20140104,1-,1-,1,2,2+,2,2,1+,12,3,3,4,7,9.0,7.0,7.0,5.0,6.0
4,20140105,0+,1,1+,1-,1,1-,0,0+,5+,2,4,5,3,4.0,3.0,0.0,2.0,3.0
5,20140106,0,0+,1,0+,1-,1-,1+,1+,6-,0,2,4,2,3.0,3.0,5.0,5.0,3.0
6,20140107,0+,2-,0,1-,1-,3+,2+,3-,12-,2,6,0,3,3.0,18.0,9.0,12.0,7.0
7,20140108,3,3+,1,1,1-,1-,1,1+,12,15,18,4,4,3.0,3.0,4.0,5.0,7.0
8,20140109,3,3-,1+,2-,1,1,3-,2-,15,15,12,5,6,4.0,4.0,12.0,6.0,8.0
9,20140110,2,2-,1-,1-,1,2-,1-,0+,9-,7,6,3,3,4.0,6.0,3.0,2.0,4.0
10,20140111,0,0,0,0+,1-,1-,2+,2-,6-,0,0,0,2,3.0,3.0,9.0,6.0,3.0
11,20140112,1,1-,1,1,1+,1,3-,3+,12,4,3,4,4,5.0,4.0,12.0,18.0,7.0
12,20140113,2,3,2,1,1,1-,0,1,11-,7,15,7,4,4.0,3.0,0.0,4.0,6.0
13,20140114,3+,3-,2-,1,3+,2+,1+,3-,18+,18,12,6,4,18.0,9.0,5.0,12.0,10.0
14,20140115,2-,1-,1,1-,0+,1,0+,0+,6,6,3,4,3,2.0,4.0,2.0,2.0,3.0
15,20140116,0,0,1,1-,0+,0+,0,0+,3-,0,0,4,3,2.0,2.0,0.0,2.0,2.0
16,20140117,0,0,0+,0,1,1-,0+,2-,4,0,0,2,0,4.0,3.0,2.0,6.0,2.0
17,20140118,1-,0,0,0,0+,0,1,0,2,3,0,0,0,2.0,0.0,4.0,0.0,1.0
18,20140119,0,0,0,0,0+,0+,0,0,1-,0,0,0,0,2.0,2.0,0.0,0.0,0.0
19,20140120,0,0,1-,0+,0+,1-,1-,0+,3,0,0,3,2,2.0,3.0,3.0,2.0,2.0
20,20140121,3-,1,2-,2-,2+,3-,2,2-,16-,12,4,6,6,9.0,12.0,7.0,6.0,8.0
21,20140122,2,2,3-,3+,2+,2-,2-,3-,18+,7,7,12,18,9.0,6.0,6.0,12.0,10.0
22,20140123,2+,2-,2,1+,1-,1+,2,2-,13,9,6,7,5,3.0,5.0,7.0,6.0,6.0
23,20140124,3,2-,0,0+,1-,0+,0,0+,6+,15,6,0,2,3.0,2.0,0.0,2.0,4.0
24,20140125,2+,2-,1,0+,1,2-,2-,3,13-,9,6,4,2,4.0,6.0,6.0,15.0,6.0
25,20140126,3-,3-,2-,1,0,2-,1+,1+,12+,12,12,6,4,0.0,6.0,5.0,5.0,6.0
26,20140127,1-,1-,0+,0+,1-,1,1-,2-,6,3,3,2,2,3.0,4.0,3.0,6.0,3.0
27,20140128,0,0,1-,1-,1-,2-,2,2+,8,0,0,3,3,3.0,6.0,7.0,9.0,4.0
28,20140129,2,2,2,2-,1,2,1+,1+,13+,7,7,7,6,4.0,7.0,5.0,5.0,6.0
29,20140130,2,2+,1-,0+,0,0,0+,0,6-,7,9,3,2,0.0,0.0,2.0,0.0,3.0
30,20140131,0,0,0,1-,0+,0,0,0+,1+,0,0,0,3,2.0,0.0,0.0,2.0,1.0
31,20140201,0,0,0+,0+,1-,1,1+,3-,6+,0,0,2,2,3.0,4.0,5.0,12.0,4.0
32,20140202,1-,2,1,0,1-,0+,1-,1-,6,3,7,4,0,3.0,2.0,3.0,3.0,3.0
33,20140203,2,2+,2-,1+,1+,1+,1-,1+,12,7,9,6,5,5.0,5.0,3.0,5.0,6.0
34,20140204,2-,1+,1-,1-,1-,1-,1-,1,7+,6,5,3,3,3.0,3.0,3.0,4.0,4.0
35,20140205,1-,1-,0+,0,2,1-,1,1+,7-,3,3,2,0,7.0,3.0,4.0,5.0,3.0
36,20140206,2,3,2-,2,2+,2,1,1+,15+,7,15,6,7,9.0,7.0,4.0,5.0,8.0
37,20140207,0+,0,1,1,1+,2+,3-,4,13-,2,0,4,4,5.0,9.0,12.0,27.0,8.0
38,20140208,5-,5-,4,2,2+,2,4-,4+,28-,39,39,27,7,9.0,7.0,22.0,32.0,23.0
39,20140209,4-,3,3,1-,3,3-,4,3+,23+,22,15,15,3,15.0,12.0,27.0,18.0,16.0
40,20140210,3,2+,1+,2,1-,1+,4-,3+,18-,15,9,5,7,3.0,5.0,22.0,18.0,10.0
41,20140211,2,2-,2-,0+,0+,0,1+,3-,10,7,6,6,2,2.0,0.0,5.0,12.0,5.0
42,20140212,3,3,1+,1,1+,2-,1,1,13+,15,15,5,4,5.0,6.0,4.0,4.0,7.0
43,20140213,0,0,0+,1-,0,0,0,0,1,0,0,2,3,0.0,0.0,0.0,0.0,1.0
44,20140214,0,0+,1-,1,2-,1-,0,0+,5-,0,2,3,4,6.0,3.0,0.0,2.0,2.0
45,20140215,0+,0,0,0,3,3-,3-,4+,13,2,0,0,0,15.0,12.0,12.0,32.0,9.0
46,20140216,5,3,2+,2,3+,3+,4-,3,26-,48,15,9,7,18.0,18.0,22.0,15.0,19.0
47,20140217,2-,0+,0+,1-,0+,1-,2-,2+,8,6,2,2,3,2.0,3.0,6.0,9.0,4.0
48,20140218,1,0,2-,1+,1,2+,3-,2+,12+,4,0,6,5,4.0,9.0,12.0,9.0,6.0
