,Year,DOY,HR,Kp index,R-(Sunspot No.),Dst-index-nT,ap_index-nT,f10.7_index,TEC,Latitude,Longitude
0,2019,1,0,13,12,-8,5,69.5,7.1842756,0,0
1,2019,2,0,0,15,-5,0,72.7,7.12622,0,0
2,2019,3,0,3,15,0,1,70.2,6.851399,0,0
3,2019,4,0,20,13,4,9,69.1,6.9757667,0,0
4,2019,5,0,27,11,-12,16,68.8,9.079953,0,0
5,2019,6,0,23,0,-9,9,69.6,7.944858,0,0
6,2019,7,0,17,0,-5,6,69.1,7.999807,0,0
7,2019,8,0,13,0,0,6,69.0,7.7467685,0,0
8,2019,9,0,10,0,1,4,69.2,7.439494,0,0
9,2019,10,0,7,0,3,3,67.8,7.0331855,0,0
10,2019,11,0,13,0,1,6,65.9,7.275574,0,0
11,2019,12,0,3,0,-3,2,67.3,7.1024117,0,0
12,2019,13,0,7,0,6,2,66.6,6.991607,0,0
13,2019,14,0,17,0,10,6,67.8,7.3745704,0,0
14,2019,15,0,13,0,5,5,67.3,7.3230176,0,0
15,2019,16,0,13,0,-3,5,67.5,7.2838125,0,0
16,2019,17,0,17,0,-7,6,66.4,7.820973,0,0
17,2019,18,0,13,0,-4,5,66.6,6.976095,0,0
18,2019,19,0,10,0,-3,4,67.4,6.698707,0,0
19,2019,20,0,7,0,1,3,67.0,6.5179434,0,0
20,2019,21,0,7,10,6,3,67.7,6.7666793,0,0
21,2019,22,0,7,16,6,3,68.5,6.271638,0,0
22,2019,23,0,27,19,4,12,69.3,6.935346,0,0
23,2019,24,0,30,21,-4,17,70.2,8.025545,0,0
24,2019,25,0,27,22,-7,12,72.7,7.7893496,0,0
25,2019,26,0,17,26,-4,7,74.3,7.142794,0,0
26,2019,27,0,10,19,-4,4,72.8,7.5521317,0,0
27,2019,28,0,3,16,-1,1,73.5,7.0703645,0,0
28,2019,29,0,3,13,4,2,70.9,7.1642103,0,0
29,2019,30,0,3,11,7,1,71.4,6.8301373,0,0
30,2019,31,0,23,0,6,14,70.0,7.229848,0,0
31,2019,32,0,30,0,-21,15,70.0,9.0551605,0,0
