,Year,DOY,HR,Kp index,R-(Sunspot No.),Dst-index-nT,ap_index-nT,f10.7_index,TEC,Latitude,Longitude
0,2014,1,0,23,124,-11,11,154.3,21.301234806096854,0,0
1,2014,2,0,33,133,-19,18,155.2,22.99677792784102,0,0
2,2014,3,0,20,153,-18,9,176.3,23.37416554119236,0,0
3,2014,4,0,17,136,-10,6,253.3,22.837680879799347,0,0
4,2014,5,0,7,134,-8,3,210.3,23.332027783137182,0,0
5,2014,6,0,7,167,-7,3,197.2,22.40154350762107,0,0
6,2014,7,0,13,140,-6,7,229.3,23.532452247732977,0,0
7,2014,8,0,17,107,-9,7,188.2,22.057900829635347,0,0
8,2014,9,0,20,120,-9,8,178.1,20.569708662936524,0,0
9,2014,10,0,10,137,-2,4,169.4,20.717866100713874,0,0
10,2014,11,0,7,142,1,3,160.7,22.823615666602354,0,0
11,2014,12,0,17,133,-8,7,150.2,24.092282461894655,0,0
12,2014,13,0,13,117,-6,6,138.7,22.717422342272815,0,0
13,2014,14,0,23,96,-9,10,132.6,23.02840054022767,0,0
14,2014,15,0,7,93,-9,3,122.1,24.908605054987458,0,0
15,2014,16,0,3,80,-1,2,117.1,24.003453598302144,0,0
16,2014,17,0,7,74,2,2,124.7,26.335944433725643,0,0
17,2014,18,0,3,116,0,1,125.5,26.475477522670268,0,0
18,2014,19,0,0,110,8,0,123.4,28.645282654833107,0,0
19,2014,20,0,3,133,2,2,133.0,30.93802816901409,0,0
20,2014,21,0,20,129,4,8,141.4,28.518637854524407,0,0
21,2014,22,0,23,154,-9,10,138.9,28.799999999999997,0,0
22,2014,23,0,17,146,-7,6,132.1,26.852016206830022,0,0
23,2014,24,0,7,116,-2,4,131.3,30.01969901601389,0,0
24,2014,25,0,17,100,-7,6,129.1,26.883426586918777,0,0
25,2014,26,0,17,97,-14,6,133.7,26.72915300019294,0,0
26,2014,27,0,7,76,-3,3,139.6,29.030580744742426,0,0
27,2014,28,0,10,77,-4,4,152.5,30.082288250048233,0,0
28,2014,29,0,17,94,-7,6,151.8,34.16843526914914,0,0
29,2014,30,0,7,99,-7,3,155.8,41.561952537140655,0,0
30,2014,31,0,3,93,-1,1,160.9,36.56737410765966,0,0
31,2014,32,0,7,94,4,4,171.6,36.87254485819024,0,0
32,2014,33,0,7,118,0,3,184.4,36.84283233648467,0,0
33,2014,34,0,13,127,2,6,183.0,35.36376615859541,0,0
34,2014,35,0,10,144,1,4,182.9,33.90789118271272,0,0
35,2014,36,0,7,167,7,3,188.1,33.91726799151071,0,0
36,2014,37,0,20,171,-17,8,186.1,31.393883851051516,0,0
37,2014,38,0,17,147,-11,8,173.2,31.044935365618368,0,0
38,2014,39,0,33,147,-18,23,167.2,32.434420219949835,0,0
39,2014,40,0,30,147,-29,16,164.6,32.465232490835426,0,0
40,2014,41,0,23,137,-23,10,156.8,32.924946941925526,0,0
41,2014,42,0,13,158,-15,5,167.8,35.65278796064056,0,0
42,2014,43,0,17,161,-14,7,156.1,38.70405170750531,0,0
43,2014,44,0,0,147,4,1,162.5,35.34975882693421,0,0
44,2014,45,0,7,130,4,2,162.5,34.820104186764425,0,0
45,2014,46,0,17,113,15,9,158.1,36.11726799151071,0,0
46,2014,47,0,33,103,-16,19,150.2,34.333995755354046,0,0
47,2014,48,0,10,106,-20,4,148.9,32.30285548909898,0,0
48,2014,49,0,17,127,-14,6,147.9,30.677773490256605,0,0
49,2014,50,0,43,126,-66,43,154.2,30.2764615087787,0,0
50,2014,51,0,40,133,-62,37,153.0,28.749681651553157,0,0
51,2014,52,0,23,136,-47,10,153.4,25.96639012155123,0,0
52,2014,53,0,27,146,-38,12,159.7,27.38265483310824,0,0
53,2014,54,0,33,158,-25,18,168.2,30.052498552961605,0,0
54,2014,55,0,13,153,-31,5,167.2,31.46901408450704,0,0
55,2014,56,0,7,171,-15,3,170.4,32.17422342272815,0,0
56,2014,57,0,3,207,-6,2,174.7,28.523345552768667,0,0
57,2014,58,0,27,220,-22,20,172.4,27.30648273200849,0,0
58,2014,59,0,23,196,-60,11,167.5,24.611093961026434,0,0
59,2014,60,0,17,155,-37,6,161.6,22.73984179046884,0,0
60,2014,61,0,7,158,-21,4,158.5,18.77026818444916,0,0
61,2014,62,0,13,161,-17,5,158.3,20.538375458228828,0,0
62,2014,63,0,17,141,-10,6,155.4,20.87590198726606,0,0
63,2014,64,0,17,154,-8,6,146.7,21.557534246575344,0,0
64,2014,65,0,13,127,-9,5,146.5,21.87657727185028,0,0
65,2014,66,0,3,134,-7,2,146.0,22.191857997298865,0,0
66,2014,67,0,7,116,-7,2,139.5,23.119178082191784,0,0
67,2014,68,0,3,111,-2,2,143.8,25.43879992282462,0,0
68,2014,69,0,7,113,0,4,149.5,23.85251784680687,0,0
69,2014,70,0,7,111,-3,3,162.5,22.406000385876904,0,0
70,2014,71,0,13,132,-6,5,145.8,20.652363496044764,0,0
71,2014,72,0,23,112,-22,11,145.9,20.497433918579976,0,0
72,2014,73,0,13,109,-13,5,142.1,18.8218020451476,0,0
73,2014,74,0,7,111,-6,3,137.5,17.802218792205288,0,0
74,2014,75,0,3,122,-5,1,134.2,17.02622033571291,0,0
75,2014,76,0,3,126,3,2,135.1,15.942813042639399,0,0
76,2014,77,0,13,136,-6,5,137.0,15.765251784680688,0,0
77,2014,78,0,10,141,-2,4,147.9,16.31366004244646,0,0
78,2014,79,0,13,139,8,5,150.1,16.830792977040325,0,0
79,2014,80,0,20,126,-11,9,151.4,18.558170943469033,0,0
80,2014,81,0,10,146,2,4,153.8,17.745147597916265,0,0
81,2014,82,0,17,151,-5,6,156.0,18.85510322207216,0,0
82,2014,83,0,7,137,-1,3,157.7,20.290044375844108,0,0
83,2014,84,0,13,136,6,7,152.0,17.89849508006946,0,0
84,2014,85,0,17,112,-11,9,152.5,17.136040902951958,0,0
85,2014,86,0,13,115,-10,5,144.2,14.779915107080841,0,0
86,2014,87,0,17,122,-9,6,145.9,13.929866872467683,0,0
87,2014,88,0,17,118,-10,7,142.3,13.824329538877098,0,0
88,2014,89,0,10,101,1,4,148.1,13.554505112868995,0,0
89,2014,90,0,13,118,-3,6,152.1,14.276750916457651,0,0
90,2014,91,0,10,96,-4,5,153.1,16.5305421570519,0,0
91,2014,92,0,7,114,-1,3,154.6,17.686301369863013,0,0
92,2014,93,0,13,133,0,5,153.0,19.44034343044569,0,0
93,2014,94,0,13,158,1,5,157.0,21.32612386648659,0,0
94,2014,95,0,23,135,1,12,142.3,20.86181748022381,0,0
95,2014,96,0,7,121,-3,2,141.2,21.29886166312946,0,0
96,2014,97,0,23,114,-10,10,140.2,19.461277252556435,0,0
97,2014,98,0,10,117,-13,4,132.4,16.618464209917036,0,0
98,2014,99,0,10,94,-11,4,131.0,14.84213775805518,0,0
99,2014,100,0,3,65,-7,2,137.3,12.635925139880378,0,0
100,2014,101,0,17,61,-6,7,138.2,11.897163804746286,0,0
101,2014,102,0,33,73,-65,20,136.5,12.328169014084507,0,0
102,2014,103,0,30,80,-43,15,137.9,13.005325101292689,0,0
103,2014,104,0,17,105,-24,6,151.2,13.691028361952538,0,0
104,2014,105,0,13,145,-17,5,163.0,14.534400926104572,0,0
105,2014,106,0,7,187,-3,3,185.2,16.88533667759985,0,0
106,2014,107,0,23,199,-8,11,180.3,19.149893883851053,0,0
107,2014,108,0,17,178,-3,6,173.7,18.178448774840827,0,0
108,2014,109,0,27,178,-5,14,170.8,18.229519583252944,0,0
109,2014,110,0,33,173,0,22,164.1,17.7089523442022,0,0
110,2014,111,0,30,150,-17,18,160.4,16.76229982635539,0,0
111,2014,112,0,7,123,-12,4,146.3,15.402488906038975,0,0
112,2014,113,0,13,85,-8,5,137.6,14.335655026046691,0,0
113,2014,114,0,27,72,-13,11,131.6,14.08047462859348,0,0
114,2014,115,0,20,57,-15,8,126.2,14.666409415396489,0,0
115,2014,116,0,13,45,-18,5,122.3,15.497433918579972,0,0
116,2014,117,0,7,77,-4,3,119.6,15.317364460737027,0,0
117,2014,118,0,10,80,-9,5,122.5,16.588095697472507,0,0
118,2014,119,0,7,77,3,4,121.8,19.447308508585763,0,0
119,2014,120,0,30,82,-46,16,125.5,19.15556627435848,0,0
120,2014,121,0,10,88,-16,4,127.7,16.610881728728536,0,0
121,2014,122,0,3,115,-6,2,137.6,18.1153771946749,0,0
122,2014,123,0,10,123,3,5,134.8,17.406077561257963,0,0
123,2014,124,0,27,127,-30,13,133.7,18.718251977619143,0,0
124,2014,125,0,20,142,-17,8,141.5,20.297819795485243,0,0
125,2014,126,0,3,148,-8,2,141.3,20.27794713486398,0,0
126,2014,127,0,7,120,-3,2,148.6,23.295793941732587,0,0
127,2014,128,0,33,132,-26,20,150.8,22.68927262203357,0,0
128,2014,129,0,13,139,-20,6,155.2,21.706482732008492,0,0
129,2014,130,0,17,123,-15,8,155.1,22.476924561065022,0,0
130,2014,131,0,23,150,-20,10,167.7,24.04074860119622,0,0
131,2014,132,0,17,154,-15,6,166.3,22.43856839668146,0,0
132,2014,133,0,7,133,1,3,162.7,20.878333011769246,0,0
133,2014,134,0,10,166,3,4,166.7,23.544395137950996,0,0
134,2014,135,0,10,156,7,4,155.5,25.159482924946943,0,0
135,2014,136,0,10,133,3,4,141.8,27.01917808219178,0,0
136,2014,137,0,7,151,0,3,136.6,28.437758055180396,0,0
137,2014,138,0,10,138,3,4,130.4,28.275110939610265,0,0
138,2014,139,0,10,102,3,4,119.7,30.271387227474438,0,0
139,2014,140,0,7,87,1,3,120.1,29.72936523249084,0,0
140,2014,141,0,3,85,9,2,116.7,29.636600424464596,0,0
141,2014,142,0,17,66,4,8,114.1,28.294308315647307,0,0
142,2014,143,0,27,91,-13,17,119.2,26.611904302527496,0,0
143,2014,144,0,10,109,-17,4,127.7,26.19143353270307,0,0
144,2014,145,0,7,109,-9,3,116.0,26.156280146633225,0,0
145,2014,146,0,7,91,-6,3,111.1,27.509704804167473,0,0
146,2014,147,0,7,78,4,3,108.7,27.165464016978586,0,0
147,2014,148,0,10,70,2,4,102.1,30.573721782751303,0,0
148,2014,149,0,13,48,-5,6,105.5,31.197240980127344,0,0
149,2014,150,0,20,55,-4,10,104.4,32.760293266448,0,0
150,2014,151,0,3,57,7,2,106.6,34.11099749180012,0,0
151,2014,152,0,7,64,10,2,106.2,30.003337835230564,0,0
152,2014,153,0,7,62,9,4,108.3,29.837198533667763,0,0
153,2014,154,0,13,74,5,6,110.1,28.622786031256027,0,0
154,2014,155,0,13,64,2,5,108.5,31.970943469033383,0,0
155,2014,156,0,17,87,-1,7,113.8,31.315975303878066,0,0
156,2014,157,0,10,119,-2,4,136.9,30.214296739340153,0,0
157,2014,158,0,23,133,4,13,140.8,27.74441443179626,0,0
158,2014,159,0,40,142,-19,38,153.1,28.47902759019873,0,0
159,2014,160,0,10,156,-23,4,166.1,30.720027011383372,0,0
160,2014,161,0,17,162,-5,6,171.3,30.20607756125796,0,0
161,2014,162,0,17,174,0,6,173.6,29.97134863978391,0,0
162,2014,163,0,7,197,-3,3,179.9,29.23023345552769,0,0
163,2014,164,0,10,182,12,4,157.5,30.270924175188117,0,0
164,2014,165,0,17,137,0,6,148.0,29.19282268956203,0,0
165,2014,166,0,7,74,1,3,134.3,30.260987844877487,0,0
166,2014,167,0,13,84,2,4,120.5,30.524020837352886,0,0
167,2014,168,0,17,95,-1,8,118.0,29.652652903723716,0,0
168,2014,169,0,30,120,-21,16,114.4,28.119872660621265,0,0
169,2014,170,0,20,95,-14,9,114.7,29.558904109589044,0,0
170,2014,171,0,20,80,-2,8,105.5,25.778661007138727,0,0
171,2014,172,0,13,93,-9,4,104.5,25.244723133320473,0,0
172,2014,173,0,7,90,-7,3,97.3,24.821493343623384,0,0
173,2014,174,0,7,77,0,4,95.6,28.29332432953888,0,0
